dataset,series,method,replicate,target_false_alarm_rate,threshold,precision,recall,f1,false_alarm_rate,n_alarms,calibrated_threshold
mgab,3,persistence_residual,1,0.3333333333333333,0.14817012399203122,0.06807432432432432,0.3349958437240233,0.1131545697037765,0.33321253850335203,11840,0.26399019990532224
mgab,3,persistence_residual,1,0.38095238095238093,0.13658878704893596,0.06813982706377947,0.38320864505403157,0.1157055907636318,0.38077550280847977,13531,0.26399019990532224
mgab,3,persistence_residual,1,0.42857142857142855,0.1272352512728503,0.06694258310340297,0.4235245220282627,0.11561152711595189,0.4289122425560186,15222,0.26399019990532224
mgab,3,persistence_residual,1,0.47619047619047616,0.11924866225126607,0.06722241929762326,0.47256857855361595,0.11770186335403726,0.47644500815365104,16914,0.26399019990532224
mgab,3,persistence_residual,1,0.5238095238095238,0.11193521766813319,0.06772373018005913,0.5236907730673317,0.11993717576507545,0.5237965815063115,18605,0.26399019990532224
mgab,3,persistence_residual,1,0.5714285714285714,0.1049677342066957,0.06759619648223876,0.5702410640066501,0.12086508390961548,0.5715105393489158,20297,0.26399019990532224
mgab,3,persistence_residual,1,0.6190476190476191,0.09869873286208986,0.06658177187556849,0.6084788029925187,0.12002951545461998,0.6197982726339313,21988,0.26399019990532224
mgab,3,persistence_residual,1,0.6666666666666666,0.09226700411340971,0.06672297297297297,0.656691604322527,0.12113777505175188,0.6673914356465543,23680,0.26399019990532224
mgab,3,persistence_residual,1,0.7142857142857143,0.08539366186562347,0.06700563635646999,0.7065669160432253,0.1224034272959643,0.7148336051217008,25371,0.26399019990532224
mgab,3,persistence_residual,1,0.7619047619047619,0.07810882290124255,0.06647697878944646,0.7477140482128013,0.12209854757703271,0.762909947454249,27062,0.26399019990532224
mgab,3,persistence_residual,1,0.8095238095238095,0.06938282150201758,0.06628642971412672,0.7921862011637573,0.12233632862644415,0.8107748988343298,28754,0.26399019990532224
mgab,3,persistence_residual,1,0.8571428571428571,0.05976702279690471,0.06690753818360978,0.8466334164588528,0.12401448966545918,0.8578848825270279,30445,0.26399019990532224
mgab,3,persistence_residual,1,0.9047619047619048,0.051970702133417035,0.0678034664094346,0.9056525353283458,0.1261615956923255,0.9046928791447726,32137,0.26399019990532224
mgab,3,persistence_residual,1,0.9523809523809523,0.043480767828555145,0.06810925860234125,0.9576059850374065,0.12717337307501242,0.9519840550824424,33828,0.26399019990532224
mgab,3,persistence_residual,1,1.0,0.017418504274701263,0.06773648648648649,1.0,0.12687865844012025,1.0,35520,0.26399019990532224
mgab,3,moving_statistics,1,0.047619047619047616,2.609475083067082,0.07983441750443525,0.05610972568578554,0.06590187942396876,0.04698918886271668,1691,3.012517081122496
mgab,3,moving_statistics,1,0.09523809523809523,2.397112914894933,0.07451212300413956,0.10473815461346633,0.08707671043538355,0.0945219544603491,3382,3.012517081122496
mgab,3,moving_statistics,1,0.14285714285714285,2.298168856738812,0.07114702404414663,0.15004156275976724,0.096524064171123,0.1423265084254394,5074,3.012517081122496
mgab,3,moving_statistics,1,0.19047619047619047,2.1866136602493498,0.06829268292682927,0.19201995012468828,0.10075237160614985,0.19034245334299693,6765,3.012517081122496
mgab,3,moving_statistics,1,0.23809523809523808,2.086095108472364,0.07000118245240629,0.2460515378221114,0.10899383227469389,0.23751283445068552,8457,3.012517081122496
mgab,3,moving_statistics,1,0.2857142857142857,1.9876182251355203,0.06957035869136775,0.29343308395677475,0.11247411183686475,0.2851361961708039,10148,3.012517081122496
mgab,3,moving_statistics,1,0.3333333333333333,1.8911091717909585,0.06883445945945946,0.33873649210307566,0.114418082268707,0.3329407501358942,11840,3.012517081122496
mgab,3,moving_statistics,1,0.38095238095238093,1.8032269434843329,0.06887887074126081,0.3873649210307564,0.11696053209512455,0.3804735157335266,13531,3.012517081122496
mgab,3,moving_statistics,1,0.42857142857142855,1.720699743826117,0.06786230455919065,0.42934330839567747,0.11719990923530747,0.4284894606510841,15222,3.012517081122496
mgab,3,moving_statistics,1,0.47619047619047616,1.65093779082963,0.06793189074139766,0.4775561097256858,0.11894409937888199,0.4760826236637072,16914,3.012517081122496
mgab,3,moving_statistics,1,0.5238095238095238,1.5911758461361387,0.06691749529696318,0.5174563591022444,0.11850935224406263,0.5242495621187413,18605,3.012517081122496
mgab,3,moving_statistics,1,0.5714285714285714,1.5379409251218021,0.06695570774006011,0.5648379052369077,0.11971986081134653,0.571903122546355,20297,3.012517081122496
mgab,3,moving_statistics,1,0.6190476190476191,1.4765148349724768,0.06644533381844643,0.6072319201995012,0.11978355333278676,0.6198888687564172,21988,3.012517081122496
mgab,3,moving_statistics,1,0.6666666666666666,1.4036240049317712,0.06727195945945946,0.6620947630922693,0.12213447826420301,0.6669988524491152,23680,3.012517081122496
mgab,3,moving_statistics,1,0.7142857142857143,1.3226983125468905,0.06736037207835718,0.7103075644222776,0.12305144544047233,0.7145618167542429,25371,3.012517081122496
mgab,3,moving_statistics,1,0.7619047619047619,1.2418341040402083,0.06699430936368339,0.7535328345802161,0.12304873082665944,0.7624871655493145,27062,3.012517081122496
mgab,3,moving_statistics,1,0.8095238095238095,1.1571200371126906,0.06708631842526257,0.8017456359102244,0.12381258023106546,0.8100803285619376,28754,3.012517081122496
mgab,3,moving_statistics,1,0.8571428571428571,1.0740734123301081,0.0674659221547052,0.8536990856192851,0.12504946576968737,0.8573715044996074,30445,3.012517081122496
mgab,3,moving_statistics,1,0.9047619047619048,0.9307094560208498,0.06721224756511186,0.8977556109725686,0.12506151752887704,0.9052666545871837,32137,3.012517081122496
mgab,3,moving_statistics,1,0.9523809523809523,0.7119388611336035,0.0670154901265224,0.9422277639235245,0.12513109234420708,0.9531014072597693,33828,3.012517081122496
mgab,3,moving_statistics,1,1.0,0.16356538102445484,0.06773648648648649,1.0,0.12687865844012025,1.0,35520,3.012517081122496
mgab,3,random_control,1,0.047619047619047616,0.6679727801201807,0.07214665878178593,0.05070656691604322,0.059555772516475466,0.04738177206015583,1691,0.7311305123128022
mgab,3,random_control,1,0.09523809523809523,0.6330810819240469,0.07185097575399173,0.10099750623441396,0.08396682791983415,0.09479374282780698,3382,0.7311305123128022
mgab,3,random_control,1,0.14285714285714285,0.6089131301528141,0.07114702404414663,0.15004156275976724,0.096524064171123,0.1423265084254394,5074,0.7311305123128022
mgab,3,random_control,1,0.19047619047619047,0.5891351514474081,0.07110125646711013,0.1999168744804655,0.10489586740813432,0.18976867790058585,6765,0.7311305123128022
mgab,3,random_control,1,0.23809523809523808,0.5727943856547881,0.071301880099326,0.2506234413965087,0.11101905550952773,0.237180648668237,8457,0.7311305123128022
