experiment,replicate,seed_reservoir,seed_drive,seed_probe,rho,leak_rate,input_scale,sigma_u,input_amplitude,input_drive_std,n_units,density,n_steps,washout,window,n_pairs,d_initial,d_tail,converged,decay_rate_per_step,lyapunov_per_step,lyapunov_per_time,tau_1e,tau_censored,tau_integrated,wall_time_s
2C_esp_map,0,0,1,3,1.0,1.0,1.0,0.05,0.08660254037844387,0.05032738437221543,200,0.1,3000,200,200,10,0.5768896530584031,2.249012125492524e-13,1,-0.009460960550001184,-0.009753798614668149,-0.009753798614668149,0.8855795482608239,0.8855795482608239,1.440341083859399,0.3360055419616401
2C_esp_map,0,0,1,3,1.0,1.0,1.0,0.1,0.17320508075688773,0.10065476874443086,200,0.1,3000,200,200,10,0.5757238363872199,5.464500391825035e-17,1,-0.024429624411651012,-0.024088525134770028,-0.024088525134770028,0.8207805337130459,0.8207805337130459,1.331060849849023,0.33362704212777317
2C_esp_map,0,0,1,3,1.0,1.0,1.0,0.2,0.34641016151377546,0.2013095374888617,200,0.1,3000,200,200,10,0.570922800072368,7.41401002708641e-17,1,-0.05508599082643896,-0.05674100314602724,-0.05674100314602724,0.762100331357418,0.762100331357418,1.2277078768247143,0.3354259580373764
2C_esp_map,0,0,1,3,1.0,1.0,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.5389083030956883,8.643101168192996e-17,1,-0.14692720274397067,-0.15602688775963625,-0.15602688775963625,0.693785363149355,0.693785363149355,1.0925178842036312,0.3345154579728842
2C_esp_map,0,0,1,3,1.0,1.0,1.0,1.0,1.7320508075688772,1.0065476874443087,200,0.1,3000,200,200,10,0.4573890905182461,8.11183056743084e-17,1,-0.32591898337603775,-0.3158599115056981,-0.3158599115056981,0.657982046195115,0.657982046195115,1.0393042447223377,0.3334059580229223
2C_esp_map,0,0,1,3,1.0,1.0,1.0,2.0,3.4641016151377544,2.0130953748886173,200,0.1,3000,200,200,10,0.3420072448680972,6.201289215062782e-17,1,-0.4848888915714636,-0.547207046858342,-0.547207046858342,0.6362326212340019,0.6362326212340019,1.0064631429892243,0.33283020788803697
2C_esp_map,0,0,1,3,1.1,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.6155841182286641,0.5259551915161998,0,1.6608910251597168e-05,-0.03180396329470482,-0.03180396329470482,0.3251282751692328,0.3251282751692328,0.9999999999999946,0.33616079203784466
2C_esp_map,0,0,1,3,1.1,1.0,1.0,0.05,0.08660254037844387,0.05032738437221543,200,0.1,3000,200,200,10,0.615325726453967,0.5025234870605598,0,2.2423758793192876e-05,-0.03437686134653388,-0.03437686134653388,0.813724197373705,0.813724197373705,1.2755745170260655,0.335415167035535
2C_esp_map,0,0,1,3,1.1,1.0,1.0,0.1,0.17320508075688773,0.10065476874443086,200,0.1,3000,200,200,10,0.61427047919633,0.43567266904530566,0,7.343736911028538e-05,-0.038115057894126586,-0.038115057894126586,0.8124123044541164,0.8124123044541164,1.278722976803979,0.3351089998614043
2C_esp_map,0,0,1,3,1.1,1.0,1.0,0.2,0.34641016151377546,0.2013095374888617,200,0.1,3000,200,200,10,0.6097673998939686,1.4392797527328052e-16,1,-0.024769984905876858,-0.025223251465626817,-0.025223251465626817,0.8489969427562387,0.8489969427562387,1.412722733862183,0.3361307089217007
2C_esp_map,0,0,1,3,1.1,1.0,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.5788228263105933,1.1937670456060066e-16,1,-0.09177556940319558,-0.10109996821432143,-0.10109996821432143,0.7142979890733041,0.7142979890733041,1.1451771218218632,0.3339600421022624
2C_esp_map,0,0,1,3,1.1,1.0,1.0,1.0,1.7320508075688772,1.0065476874443087,200,0.1,3000,200,200,10,0.4963551594527776,1.003510131436087e-16,1,-0.25262195324733117,-0.2527704836539281,-0.2527704836539281,0.6657305808924455,0.6657305808924455,1.050485921825661,0.34211145900189877
